Activity Date,Category,Distance (miles)
12-04-2016,Total Distance,5.982727249
13-04-2016,Total Distance,5.103333316
14-04-2016,Total Distance,5.599393963
15-04-2016,Total Distance,5.287878777
16-04-2016,Total Distance,6.291562518
17-04-2016,Total Distance,4.54062496
18-04-2016,Total Distance,5.657812475
19-04-2016,Total Distance,5.871874925
20-04-2016,Total Distance,5.950312544
21-04-2016,Total Distance,6.030000068
22-04-2016,Total Distance,5.327812473
23-04-2016,Total Distance,5.84125004
24-04-2016,Total Distance,5.467500027
25-04-2016,Total Distance,5.632812518
26-04-2016,Total Distance,5.534687526
27-04-2016,Total Distance,5.915312499
28-04-2016,Total Distance,5.361562517
29-04-2016,Total Distance,5.181249988
30-04-2016,Total Distance,6.100645104
01-05-2016,Total Distance,4.974999994
02-05-2016,Total Distance,4.967241364
03-05-2016,Total Distance,6.094482745
04-05-2016,Total Distance,4.940344792
05-05-2016,Total Distance,6.216551744
06-05-2016,Total Distance,5.457241376
07-05-2016,Total Distance,5.124482772
08-05-2016,Total Distance,5.139999981
09-05-2016,Total Distance,5.962962958
10-05-2016,Total Distance,5.666153753
11-05-2016,Total Distance,5.494583309
12-05-2016,Total Distance,2.443333321
12-04-2016,Tracker Distance,5.958181782
13-04-2016,Tracker Distance,5.071515157
14-04-2016,Tracker Distance,5.576363667
15-04-2016,Tracker Distance,5.287878777
16-04-2016,Tracker Distance,6.291562518
17-04-2016,Tracker Distance,4.54062496
18-04-2016,Tracker Distance,5.624374984
19-04-2016,Tracker Distance,5.841249939
20-04-2016,Tracker Distance,5.922187526
21-04-2016,Tracker Distance,5.97281257
22-04-2016,Tracker Distance,5.327812473
23-04-2016,Tracker Distance,5.84125004
24-04-2016,Tracker Distance,5.467500027
25-04-2016,Tracker Distance,5.591249991
26-04-2016,Tracker Distance,5.534687526
27-04-2016,Tracker Distance,5.879062504
28-04-2016,Tracker Distance,5.361562517
29-04-2016,Tracker Distance,5.153749985
30-04-2016,Tracker Distance,6.100645104
01-05-2016,Tracker Distance,4.974999994
02-05-2016,Tracker Distance,4.951379294
03-05-2016,Tracker Distance,6.05448275
04-05-2016,Tracker Distance,4.940344792
05-05-2016,Tracker Distance,6.180000005
06-05-2016,Tracker Distance,5.457241376
07-05-2016,Tracker Distance,5.124482772
08-05-2016,Tracker Distance,5.139999981
09-05-2016,Tracker Distance,5.961481478
10-05-2016,Tracker Distance,5.666153753
11-05-2016,Tracker Distance,5.494583309
12-05-2016,Tracker Distance,2.443333321
12-04-2016,Logged Activities Distance,0.215844364
13-04-2016,Logged Activities Distance,0.210407698
14-04-2016,Logged Activities Distance,0.167833213
15-04-2016,Logged Activities Distance,0
16-04-2016,Logged Activities Distance,0
17-04-2016,Logged Activities Distance,0
18-04-2016,Logged Activities Distance,0.219459288
19-04-2016,Logged Activities Distance,0.224850722
20-04-2016,Logged Activities Distance,0.219280876
21-04-2016,Logged Activities Distance,0.197961666
22-04-2016,Logged Activities Distance,0.065379597
23-04-2016,Logged Activities Distance,0
24-04-2016,Logged Activities Distance,0
25-04-2016,Logged Activities Distance,0.304347321
26-04-2016,Logged Activities Distance,0.061237376
27-04-2016,Logged Activities Distance,0.152675152
28-04-2016,Logged Activities Distance,0
29-04-2016,Logged Activities Distance,0.153473318
30-04-2016,Logged Activities Distance,0
01-05-2016,Logged Activities Distance,0
02-05-2016,Logged Activities Distance,0.169809415
03-05-2016,Logged Activities Distance,0.247084445
04-05-2016,Logged Activities Distance,0
05-05-2016,Logged Activities Distance,0.245907348
06-05-2016,Logged Activities Distance,0.072143004
07-05-2016,Logged Activities Distance,0
08-05-2016,Logged Activities Distance,0
09-05-2016,Logged Activities Distance,0.194813667
10-05-2016,Logged Activities Distance,0.086656965
11-05-2016,Logged Activities Distance,0.087172796
12-05-2016,Logged Activities Distance,0
12-04-2016,Very Active Distance,1.826363644
13-04-2016,Very Active Distance,1.326666681
14-04-2016,Very Active Distance,1.509696976
15-04-2016,Very Active Distance,1.055757577
16-04-2016,Very Active Distance,1.993749967
17-04-2016,Very Active Distance,1.145312483
18-04-2016,Very Active Distance,1.665625019
19-04-2016,Very Active Distance,1.883124998
20-04-2016,Very Active Distance,1.861875007
21-04-2016,Very Active Distance,1.922812518
22-04-2016,Very Active Distance,1.610937481
23-04-2016,Very Active Distance,1.158124983
24-04-2016,Very Active Distance,1.76687502
25-04-2016,Very Active Distance,1.783437492
26-04-2016,Very Active Distance,1.331249994
27-04-2016,Very Active Distance,1.995937484
28-04-2016,Very Active Distance,1.272187497
29-04-2016,Very Active Distance,1.073437495
30-04-2016,Very Active Distance,1.59612902
01-05-2016,Very Active Distance,1.675333346
02-05-2016,Very Active Distance,0.975862061
03-05-2016,Very Active Distance,1.549310359
04-05-2016,Very Active Distance,1.354482752
05-05-2016,Very Active Distance,1.540689667
06-05-2016,Very Active Distance,1.541034482
07-05-2016,Very Active Distance,1.29206895
08-05-2016,Very Active Distance,1.359629629
09-05-2016,Very Active Distance,1.6966667
10-05-2016,Very Active Distance,1.429230774
11-05-2016,Very Active Distance,1.604583336
12-05-2016,Very Active Distance,0.364761906
12-04-2016,Moderately Active Distance,0.346060605
13-04-2016,Moderately Active Distance,0.420000004
14-04-2016,Moderately Active Distance,0.509696971
15-04-2016,Moderately Active Distance,0.403939392
16-04-2016,Moderately Active Distance,0.70875
17-04-2016,Moderately Active Distance,0.497499997
18-04-2016,Moderately Active Distance,0.695937499
19-04-2016,Moderately Active Distance,0.519062505
20-04-2016,Moderately Active Distance,0.633437494
21-04-2016,Moderately Active Distance,0.621874996
22-04-2016,Moderately Active Distance,0.511875
23-04-2016,Moderately Active Distance,0.604374992
24-04-2016,Moderately Active Distance,0.617812494
25-04-2016,Moderately Active Distance,0.450312501
26-04-2016,Moderately Active Distance,0.719687486
27-04-2016,Moderately Active Distance,0.520625
28-04-2016,Moderately Active Distance,0.471874997
29-04-2016,Moderately Active Distance,0.554999999
30-04-2016,Moderately Active Distance,0.728064512
01-05-2016,Moderately Active Distance,0.623000003
02-05-2016,Moderately Active Distance,0.544482759
03-05-2016,Moderately Active Distance,0.605172418
04-05-2016,Moderately Active Distance,0.445172409
05-05-2016,Moderately Active Distance,0.701379308
06-05-2016,Moderately Active Distance,0.465172413
07-05-2016,Moderately Active Distance,0.66896551
08-05-2016,Moderately Active Distance,0.755555543
09-05-2016,Moderately Active Distance,0.660370366
10-05-2016,Moderately Active Distance,0.828076928
11-05-2016,Moderately Active Distance,0.640000005
12-05-2016,Moderately Active Distance,0.100000002
12-04-2016,Lightly Active Distance,3.409999991
13-04-2016,Lightly Active Distance,3.140909092
14-04-2016,Lightly Active Distance,3.568484854
15-04-2016,Lightly Active Distance,3.767272729
16-04-2016,Lightly Active Distance,3.450625
17-04-2016,Lightly Active Distance,2.822187503
18-04-2016,Lightly Active Distance,3.281250003
19-04-2016,Lightly Active Distance,3.463437494
20-04-2016,Lightly Active Distance,3.450937528
21-04-2016,Lightly Active Distance,3.162187481
22-04-2016,Lightly Active Distance,3.187812461
23-04-2016,Lightly Active Distance,4.074375033
24-04-2016,Lightly Active Distance,3.079375034
25-04-2016,Lightly Active Distance,3.393750011
26-04-2016,Lightly Active Distance,3.474374984
27-04-2016,Lightly Active Distance,3.394374982
28-04-2016,Lightly Active Distance,3.61437499
29-04-2016,Lightly Active Distance,3.54906248
30-04-2016,Lightly Active Distance,3.772580639
01-05-2016,Lightly Active Distance,2.653333324
02-05-2016,Lightly Active Distance,3.206896561
03-05-2016,Lightly Active Distance,3.609310366
04-05-2016,Lightly Active Distance,3.032413805
05-05-2016,Lightly Active Distance,3.674137938
06-05-2016,Lightly Active Distance,3.438965511
07-05-2016,Lightly Active Distance,3.130344792
08-05-2016,Lightly Active Distance,3.019259303
09-05-2016,Lightly Active Distance,3.591481452
10-05-2016,Lightly Active Distance,3.399615367
11-05-2016,Lightly Active Distance,3.242083348
12-05-2016,Lightly Active Distance,1.974285724
12-04-2016,Sedentary Active Distance,0.00030303
13-04-2016,Sedentary Active Distance,0.001515152
14-04-2016,Sedentary Active Distance,0.002121212
15-04-2016,Sedentary Active Distance,0.001515152
16-04-2016,Sedentary Active Distance,0.0015625
17-04-2016,Sedentary Active Distance,0.000625
18-04-2016,Sedentary Active Distance,0.0015625
19-04-2016,Sedentary Active Distance,0.0009375
20-04-2016,Sedentary Active Distance,0.001875
21-04-2016,Sedentary Active Distance,0.005
22-04-2016,Sedentary Active Distance,0.0028125
23-04-2016,Sedentary Active Distance,0.0009375
