Activity Date,Category,Minutes
12-04-2016,Very Active Minutes,22.3030303
13-04-2016,Very Active Minutes,20.33333333
14-04-2016,Very Active Minutes,20.93939394
15-04-2016,Very Active Minutes,19.18181818
16-04-2016,Very Active Minutes,27.84375
17-04-2016,Very Active Minutes,18.90625
18-04-2016,Very Active Minutes,24.40625
19-04-2016,Very Active Minutes,23.96875
20-04-2016,Very Active Minutes,24.1875
21-04-2016,Very Active Minutes,26.84375
22-04-2016,Very Active Minutes,24.4375
23-04-2016,Very Active Minutes,18.78125
24-04-2016,Very Active Minutes,21.03125
25-04-2016,Very Active Minutes,28.40625
26-04-2016,Very Active Minutes,19.8125
27-04-2016,Very Active Minutes,23.65625
28-04-2016,Very Active Minutes,17.96875
29-04-2016,Very Active Minutes,16.25
30-04-2016,Very Active Minutes,20.25806452
01-05-2016,Very Active Minutes,22.63333333
02-05-2016,Very Active Minutes,16.06896552
03-05-2016,Very Active Minutes,24.93103448
04-05-2016,Very Active Minutes,13.96551724
05-05-2016,Very Active Minutes,22.06896552
06-05-2016,Very Active Minutes,20.4137931
07-05-2016,Very Active Minutes,20.62068966
08-05-2016,Very Active Minutes,17.07407407
09-05-2016,Very Active Minutes,22.85185185
10-05-2016,Very Active Minutes,24.19230769
11-05-2016,Very Active Minutes,21.25
12-05-2016,Very Active Minutes,4.19047619
12-04-2016,Moderately Active Minutes,7.848484848
13-04-2016,Moderately Active Minutes,10.57575758
14-04-2016,Moderately Active Minutes,12.39393939
15-04-2016,Moderately Active Minutes,9.878787879
16-04-2016,Moderately Active Minutes,15.125
17-04-2016,Moderately Active Minutes,11.84375
18-04-2016,Moderately Active Minutes,16.125
19-04-2016,Moderately Active Minutes,13.78125
20-04-2016,Moderately Active Minutes,18.75
21-04-2016,Moderately Active Minutes,14.9375
22-04-2016,Moderately Active Minutes,13.25
23-04-2016,Moderately Active Minutes,15.03125
24-04-2016,Moderately Active Minutes,13.71875
25-04-2016,Moderately Active Minutes,11.375
26-04-2016,Moderately Active Minutes,17.625
27-04-2016,Moderately Active Minutes,10.78125
28-04-2016,Moderately Active Minutes,11.8125
29-04-2016,Moderately Active Minutes,14
30-04-2016,Moderately Active Minutes,16.5483871
01-05-2016,Moderately Active Minutes,15.7
02-05-2016,Moderately Active Minutes,13.17241379
03-05-2016,Moderately Active Minutes,14.82758621
04-05-2016,Moderately Active Minutes,11.13793103
05-05-2016,Moderately Active Minutes,15.44827586
06-05-2016,Moderately Active Minutes,11.31034483
07-05-2016,Moderately Active Minutes,14.03448276
08-05-2016,Moderately Active Minutes,17.37037037
09-05-2016,Moderately Active Minutes,15.48148148
10-05-2016,Moderately Active Minutes,18.65384615
11-05-2016,Moderately Active Minutes,14.5
12-05-2016,Moderately Active Minutes,2.142857143
12-04-2016,Lightly Active Minutes,199
13-04-2016,Lightly Active Minutes,181.7575758
14-04-2016,Lightly Active Minutes,201
15-04-2016,Lightly Active Minutes,213.8484848
16-04-2016,Lightly Active Minutes,193.8125
17-04-2016,Lightly Active Minutes,165.34375
18-04-2016,Lightly Active Minutes,188.28125
19-04-2016,Lightly Active Minutes,201.90625
20-04-2016,Lightly Active Minutes,203.59375
21-04-2016,Lightly Active Minutes,182.65625
